query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1139,0.4090,498.3728,247.1672,745.5400,OHFNMJLLKAYZIA,"""(7R,9S,10R,13R,14S,17R)-7-hydroxy-17-((R)-5-hydroxypentan-2-yl)-10,13-dimethyl-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-3H-cyclopenta[a]phenanthren-3-one""",C[C@H](CCCO)[C@H]1CC[C@H]2[C@]3([H])[C@H](O)CC4=CC(C=C[C@]4(C)[C@H]3CC[C@@]21C)=O,396.8960,12974,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",Cholestane steroids,Steroids,Terpenoids
1140,0.5521,397.1423,247.2057,644.3480,HJRJHCRVZOCICT,"17-[N-(2-chlorophenyl)carbamoyl]-1,2,6,6,10,17,20-heptamethyl-12-oxopentacyclo [12.8.0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate",CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(O)=Nc5ccccc5Cl)CCC4(C)CCC23C)C1(C)C,371.9780,11898,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Oleanane triterpenoids,Triterpenoids,Terpenoids
1141,0.4105,188.0681,247.2269,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,319.2610,9787,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
1142,0.4090,275.4968,247.5962,523.0930,VEUZZDOCACZPRY,Brodifacoum,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,283.7320,8564,Organic compounds,Benzenoids,Naphthalenes,Phenylnaphthalenes,Phenylnaphthalenes,,,Shikimates and Phenylpropanoids
1143,0.4090,532.3246,249.0974,781.4220,OXQSHEREUUUCEE,"2,3,4,5,6-pentahydroxyhexyl 2-[2-[2-[2-(2-acetyloxy-3-methylbutanoyl)oxy-3-methylpentanoyl]oxy-3-methylpentanoyl]oxy-3-methylpentanoyl]oxy-3-methylpentanoate [IIN-based: Match]",CCC(C)C(OC(=O)C(OC(=O)C(OC(=O)C(OC(=O)C(OC(C)=O)C(C)C)C(C)CC)C(C)CC)C(C)CC)C(=O)OCC(O)C(O)C(O)C(O)CO,154.0510,1969,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Polyesters,Linear polyketides,Polyketides
1144,0.5556,340.2888,249.1112,589.4000,HLFDBGBBWUJBTJ,"1,2,6,6,10,17,20-heptamethyl-12-oxo-17-(N-(2-pyridyl)carbamoyl)pentacyclo[12.8 .0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate",CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(O)=Nc5ccccn5)CCC4(C)CCC23C)C1(C)C,211.1750,4835,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Oleanane triterpenoids,Triterpenoids,Terpenoids
1145,0.5921,0.0007,249.1113,249.1120,KEYNBOUNPFJEST,"8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based: Match]",CC(=O)CCCC1CC2=C(C(=O)O1)C(O)=CC=C2,168.0650,2529,Organic compounds,Organoheterocyclic compounds,Benzopyrans,2-benzopyrans,2-benzopyrans,Isocoumarins,Coumarins,Shikimates and Phenylpropanoids
1146,0.7727,0.0007,249.1113,249.1120,VJCNEDVMYQCMBK,"(2S,3S)-3-hydroxy-4-methoxy-2-(2-phenylethyl)-2,3-dihydropyran-6-one",COC1=CC(=O)O[C@@H](CCc2ccccc2)[C@@H]1O,155.3980,2083,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,,Kavalactones,Kavalactones and derivatives,Styrylpyrones,Shikimates and Phenylpropanoids
1147,0.6537,0.0007,249.1113,249.1120,KEYNBOUNPFJEST,"8-hydroxy-3-(4-oxopentyl)-3,4-dihydroisochromen-1-one [IIN-based: Match]",CC(=O)CCCC1CC2=C(C(=O)O1)C(O)=CC=C2,146.2030,1458,Organic compounds,Organoheterocyclic compounds,Benzopyrans,2-benzopyrans,2-benzopyrans,Isocoumarins,Coumarins,Shikimates and Phenylpropanoids
1148,0.7669,0.0006,249.1114,249.1120,VJCNEDVMYQCMBK,"(2S,3S)-3-hydroxy-4-methoxy-2-(2-phenylethyl)-2,3-dihydropyran-6-one",COC1=CC(=O)O[C@@H](CCc2ccccc2)[C@@H]1O,186.5770,3617,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,,Kavalactones,Kavalactones and derivatives,Styrylpyrones,Shikimates and Phenylpropanoids
1149,0.6237,0.0005,249.1115,249.1110,XDOFUJHYZNJQOY,Dendrodolide N,C[C@@H]1CCCC(=O)C/C=C/[C@H](CC(=O)O1)O,139.4590,1283,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,,Macrolides and analogues,Macrolide lactones,Macrolides,Polyketides
1150,0.5529,284.1621,249.1119,533.2740,NSFWWJIQIKBZMJ,Roridin A,C[C@@H]1CCO[C@H](/C=C/C=C\C(=O)O[C@@H]2C[C@@H]3[C@]4([C@]2([C@]5(CCC(=C[C@H]5O3)C)COC(=O)[C@H]1O)C)CO4)[C@@H](C)O,177.6210,3050,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Trichothecenes,Trichothecane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1151,0.4090,525.1998,249.1122,774.3120,MGHSCXCFVZJHPT,"(1S,2R,4S,5R,6S,7S,8R,9R,12R)-7,12-Diacetoxy-6-(acetoxymethyl)-2,10,10-trimethyl-11-oxatricyclo[7.2.1.0~1,6~]dodecane-4,5,8-triyl tribenzoate",C[C@@H]1C[C@H](OC(=O)C2=CC=CC=C2)[C@H](OC(=O)C3=CC=CC=C3)[C@@]4(COC(C)=O)[C@H](OC(C)=O)[C@H](OC(=O)C5=CC=CC=C5)[C@@H]6[C@@H](OC(C)=O)[C@]14OC6(C)C,193.3740,3856,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Agarofuran sesquiterpenoids,Sesquiterpenoids,Terpenoids
1152,0.5302,178.0057,249.1123,427.1180,WFUFWBKEAWXSJX,4-hydroxy-3-[(4-hydroxy-2-oxochromen-3-yl)(4-methylphenyl)methyl]chromen-2-one,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,250.1110,6930,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Terpene lactones,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
1153,0.5691,182.0134,249.1336,431.1470,LOFBWESEBFUNJU,"6-formyl-10-(hydroxymethyl)-5-methoxy-3-methylidene-2-oxo-2H,3H,3aH,4H,5H,8H,9H,11aH-cyclodeca[b]furan-4-yl 2-methylbutanoate",C=C1C(=O)OC2/C=C(\CO)CC/C=C(/C=O)C(OC)C(OC(=O)C(C)CC)C12,152.5060,1842,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Germacranolides and derivatives,Germacrane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1154,0.7391,0.0007,249.1473,249.1480,ZFHSKBJBODQVBX,Pechueloic Acid,C=C(C(=O)O)[C@@H]1CC[C@H](C)[C@@H]2CC(=O)C(C)=C2C1,196.5090,3989,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Guaianes,Guaiane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1155,0.6130,0.0006,249.1474,249.1480,ZFHSKBJBODQVBX,Pechueloic Acid,C=C(C(=O)O)[C@@H]1CC[C@H](C)[C@@H]2CC(=O)C(C)=C2C1,193.5550,3767,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Guaianes,Guaiane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1156,0.6237,0.0000,249.1480,249.1480,BDZJLPDYMKPKGC,"(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one",CC1=CC2=C(C(=C1CCO)C)C(=O)[C@](C2)(C)CO,165.0410,2474,Organic compounds,Benzenoids,Indanes,Indanones,Indanones,Illudalane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1157,0.6232,0.0000,249.1480,249.1480,ZFHSKBJBODQVBX,Pechueloic Acid,C=C(C(=O)O)[C@@H]1CC[C@H](C)[C@@H]2CC(=O)C(C)=C2C1,155.0970,2031,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Guaianes,Guaiane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1158,0.4090,514.3760,249.1480,763.5240,PBYPZVMETKFGQR,"5-[5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid [IIN-based: Match]",CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(O)=O,414.0030,13569,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Fatty acid estolides,Fatty esters,Fatty acids
1159,0.4090,186.1470,249.1480,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,417.5230,13769,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
1160,0.6285,0.0002,249.1482,249.1480,VZXPWVDKXCYHSI,3-hydroxy-4-(2-hydroxy-6-methylheptan-2-yl)benzoic acid,CC(C)CCCC(C)(O)C1=C(O)C=C(C=C1)C(O)=O,251.9670,6952,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,Bisabolane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1161,0.6243,0.0003,249.1483,249.1480,ASZIGQFYGXSPCO,"(3aS,4S,7aR)-4-Hydroxy-5-[(2S)-5-hydroxy-2-pentanyl]-6-methyl-3-methylene-3a,4,7,7a-tetrahydro-1-benzofuran-2(3H)-one",CC(CCCO)C/1=C(C)/CC2OC(=O)C(=C)C2C1O,150.7010,1747,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Terpene lactones,Germacrane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1162,0.8128,0.0004,249.1484,249.1480,ZFHSKBJBODQVBX,Pechueloic Acid,C=C(C(=O)O)[C@@H]1CC[C@H](C)[C@@H]2CC(=O)C(C)=C2C1,180.0790,3167,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Guaianes,Guaiane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1163,0.6241,0.0005,249.1485,249.1480,VZXPWVDKXCYHSI,3-hydroxy-4-(2-hydroxy-6-methylheptan-2-yl)benzoic acid,CC(C)CCCC(C)(O)C1=C(O)C=C(C=C1)C(O)=O,255.9850,7198,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,Bisabolane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1164,0.5521,384.2053,249.1847,633.3900,PTPCWEVNYOLFMA,"1,2,6,6,10,17,20-heptamethyl-17-[N-(3-nitrophenyl)carbamoyl]-12-oxopentacyclo[ 12.8.0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate",CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(O)=Nc5cccc([N+](=O)[O-])c5)CCC4(C)CCC23C)C1(C)C,285.3420,8633,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,,,
1165,0.5521,340.2150,249.1850,589.4000,HLFDBGBBWUJBTJ,"1,2,6,6,10,17,20-heptamethyl-12-oxo-17-(N-(2-pyridyl)carbamoyl)pentacyclo[12.8 .0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate",CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(O)=Nc5ccccn5)CCC4(C)CCC23C)C1(C)C,265.8160,7805,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,Triterpenoids,Oleanane triterpenoids,Triterpenoids,Terpenoids
1166,0.5284,112.0550,249.1850,137.1300,CRPUJAZIXJMDBK,Comphene,CC1(C2CCC(C2)C1=C)C,352.3410,11099,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Bicyclic monoterpenoids,Camphane monoterpenoids; Fenchane monoterpenoids,Monoterpenoids,Terpenoids
1167,0.4090,248.1750,249.1850,497.3600,FPMQKXQOBKDVHF,Bryodulcosigenin,O=C1CC2(C)C(CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C13C)C(C)CCC(O)C(O)(C)C,323.1020,9784,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cucurbitacins,Cucurbitacins,Cucurbitane triterpenoids,Triterpenoids,Terpenoids
1168,0.6337,603.6986,249.5754,853.2740,JKLAVFMVEROOKJ,"[(2S,3S,4S,5R,6S)-6-[[(1aS,2S,6S,6aS)-1a-(hydroxymethyl)-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,5a,6,6a-tetrahydro-1bH-oxireno[5,6]cyclopenta[1,3-c]pyran-6-yl]oxy]-5-hydroxy-2-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl] (E)-3-(4-methoxyphenyl)prop-2-enoate",COc1ccc(/C=C/C(=O)O[C@H]2[C@H](C)O[C@@H](O[C@H]3C4C=CO[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4[C@@]4(CO)O[C@@H]34)[C@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,205.6380,4614,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acid esters,Cinnamic acid esters,Iridoids monoterpenoids,Monoterpenoids,Terpenoids
1169,0.7171,588.1263,250.0387,838.1650,AEWHYWSPVRZHCT,2-Methylpropanoyl-CoA,O=C(NCCSC(=O)C(C)C)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC(O1)C(OP(O)(O)=O)C(O)C1n(c2)c(n3)c(c(N)nc3)n2,29.9390,108,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl thioesters,Acyl CoAs,Fatty acyl CoAs,Fatty esters,Fatty acids
1170,0.6840,281.0691,250.0779,531.1470,MVTLXFDHKDVAIC,Scutellarioside II,O=C(/C=C/c1ccc(O)cc1)OC[C@]12O[C@H]1[C@@H](O)[C@@H]1C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]12,148.7830,1727,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acid esters,Iridoids monoterpenoids,Monoterpenoids,Terpenoids
1171,0.6237,0.0002,250.0862,250.0860,YTRMTPPVNRALON,2-phenylquinoline-4-carboxylic acid,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,390.4800,12729,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,Quinazoline alkaloids,Anthranilic acid alkaloids,Alkaloids
1172,0.3459,101.1450,250.1440,351.2890,IOQJCTXUSYHBRM,Photopyrone H,CC(C)CCCCCCCCCCC1=C(C=C(OC1=O)CC(C)C)O,310.0380,9439,Organic compounds,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,Pyranones and derivatives,2-pyrone derivatives,Cyclic polyketides,Polyketides
1173,0.5837,66.0456,250.1454,316.1910,JPLKQMQCWCMVJA,Nonyltyrazolone,OC1=CC=C(C=C1)/C=C(C(O2)=O)\N=C2CCCCCCCCC,418.1660,13756,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,Catechols with side chains,Aromatic polyketides,Polyketides
1174,0.4090,414.4343,251.0857,665.5200,SENPVEZBRZQVST,Deaminodiphosphopyridine nucleotide,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)O,145.4040,1491,Organic compounds,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,,(5'->5')-dinucleotides,,,
1175,0.6237,0.0000,251.0910,251.0910,CQIUKKVOEOPUDV,Citrinin,CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O,128.9080,1045,Organic compounds,Organoheterocyclic compounds,Benzopyrans,,Benzopyrans,Azaphilones,Chromanes,Polyketides
1176,0.4090,243.1455,251.0925,494.2380,PVPDIJGSCANSAG,"1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one",O=C(CCc1ccc(O)cc1)CC(CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,207.3330,4697,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,Linear diarylheptanoids,Diarylheptanoids,Shikimates and Phenylpropanoids
1177,0.7698,0.0002,251.1278,251.1280,MQHNKCZKNAJROC,"dipropyl benzene-1,2-dicarboxylate",CCCOC(=O)C1=C(C=CC=C1)C(=O)OCCC,241.3180,6544,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
1178,0.4090,196.2171,251.1279,447.3450,ZVFDTKUVRCTHQE,Diisodecyl phthalate,CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,232.7130,6100,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
1179,0.4090,196.2171,251.1279,447.3450,ZVFDTKUVRCTHQE,Diisodecyl phthalate,CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,268.7330,7940,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,Shikimic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
1180,0.4090,535.3721,251.1279,786.5000,VNBPNPCSBYXRNC,2-[5-[2-[2-[5-[2-[2-[5-[2-[2-[5-(2-hydroxybutyl)oxolan-2-yl]propanoyloxy]propyl]oxolan-2-yl]propanoyloxy]propyl]oxolan-2-yl]propanoyloxy]propyl]oxolan-2-yl]propanoic acid [IIN-based: Match],CCC(O)CC1CCC(O1)C(C)C(=O)OC(C)CC2CCC(O2)C(C)C(=O)OC(C)CC3CCC(O3)C(C)C(=O)OC(C)CC4CCC(O4)C(C)C(O)=O,275.0990,8290,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Macrotetrolides,Polyethers,Polyketides
1181,0.5943,0.0006,251.1634,251.1640,YEXOWHQZWLCHHD,"Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,189.1380,3689,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,,,Shikimates and Phenylpropanoids
1182,0.8664,0.0003,251.1637,251.1640,ZIOCYJNRYIRTQD,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid [IIN-based on: CCMSLIB00000846465],CC(C)C(=O)C1(CCC(C)C(=O)C1)C(C)CC(O)=O,218.9100,5304,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Acorane sesquiterpenoids; Menthane monoterpenoids,Sesquiterpenoids; Monoterpenoids,Terpenoids
1183,0.8670,0.0000,251.1640,251.1640,ZIOCYJNRYIRTQD,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid [IIN-based on: CCMSLIB00000846465],CC(C)C(=O)C1(CCC(C)C(=O)C1)C(C)CC(O)=O,201.5100,4238,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Acorane sesquiterpenoids; Menthane monoterpenoids,Sesquiterpenoids; Monoterpenoids,Terpenoids
1184,0.8474,0.0000,251.1640,251.1640,ZIOCYJNRYIRTQD,3-[4-methyl-1-(2-methylpropanoyl)-3-oxocyclohexyl]butanoic acid [IIN-based on: CCMSLIB00000846465],CC(C)C(=O)C1(CCC(C)C(=O)C1)C(C)CC(O)=O,227.5700,5772,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Acorane sesquiterpenoids; Menthane monoterpenoids,Sesquiterpenoids; Monoterpenoids,Terpenoids
1185,0.8679,0.0003,251.1643,251.1640,QKYLNUXCPSRUNA,"9a-hydroxy-3,4a,5-trimethyl-2H,4H,4aH,5H,6H,7H,8H,8aH,9H,9aH-naphtho[2,3-b]furan-2-one",CC(CCC1)C(C)(CC2=C3C)C1CC2(O)OC3=O,175.0250,2927,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Terpene lactones,Eremophilane sesquiterpenoids,Sesquiterpenoids,Terpenoids
1186,0.8060,0.0005,251.2005,251.2010,IMKJGXCIJJXALX,Sclareolide,CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,238.1270,6272,Organic compounds,Organoheterocyclic compounds,Naphthofurans,,Naphthofurans,Norlabdane diterpenoids,Diterpenoids,Terpenoids
1187,0.7679,0.0004,251.2006,251.2010,IMKJGXCIJJXALX,Sclareolide,CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,255.2700,7112,Organic compounds,Organoheterocyclic compounds,Naphthofurans,,Naphthofurans,Norlabdane diterpenoids,Diterpenoids,Terpenoids
1188,0.7254,0.0006,251.2006,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,278.6400,8308,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1189,0.7260,0.0007,251.2007,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,291.1910,8856,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1190,0.7256,0.0007,251.2007,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,342.2630,10592,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1191,0.7254,0.0007,251.2007,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,419.6430,13877,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1192,0.7254,0.0007,251.2007,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,333.5910,10289,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1193,0.8177,0.0002,251.2008,251.2010,IMKJGXCIJJXALX,Sclareolide,CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,312.2250,9632,Organic compounds,Organoheterocyclic compounds,Naphthofurans,,Naphthofurans,Norlabdane diterpenoids,Diterpenoids,Terpenoids
1194,0.7254,0.0008,251.2008,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,427.3020,14049,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1195,0.7254,0.0008,251.2008,251.2000,TUNFSRHWOTWDNC,myristic acid,O=C(O)CCCCCCCCCCCCC,402.7230,13169,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,Branched fatty acids; Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids
1196,0.5292,58.0409,251.2371,309.2780,FMMOOAYVCKXGMF,Linoleic acid ethyl ester,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,346.9910,10769,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,Wax monoesters,Fatty esters,Fatty acids
1197,0.4090,263.6092,251.6348,515.2440,RMMXLENWKUUMAY,2-[4-[[4-methyl-6-(1-methyl-2-benzimidazolyl)-2-propyl-1-benzimidazolyl]methyl]phenyl]benzo,n1(c(nc2c1cccc2)c1cc(c2c(n(c(CCC)n2)Cc2ccc(cc2)c2c(cccc2)C(O)=O)c1)C)C,249.1700,6879,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,Biphenyls and derivatives,Phenazine alkaloids,Anthranilic acid alkaloids,Alkaloids
1198,0.6074,246.0368,252.1312,498.1680,MZTJYRCGYQKHIR,"methyl 7-(4-chlorophenyl)-2-methyl-5-oxo-4-(3,4,5-trimethoxyphenyl)-1,4,6,7,8- pentahydroquinoline-3-carboxylate",COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cc(OC)c(OC)c(OC)c1,156.6280,2086,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Phenylquinolines,Phenylquinolines,,,
1199,0.3459,65.9854,252.1596,318.1450,WZJZMXBKUWKXTQ,Pesticide9_Desmedipham_C16H16N2O4_3-[(Ethoxycarbonyl)amino]phenyl phenylcarbamate,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,337.6660,10387,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylcarbamic acid esters,Phenylcarbamic acid esters,,,
